node_id,label,feat
108,2,"0.0146028037383177,0.0143107476635514,0.0112513463212447,0.3224067688957445,0.0268582075531045"
109,2,"0.0262850467289719,0.0268691588785046,0.0396414475078415,0.3410485487959503,0.0482849853029327"
110,1,"0.0032126168224299,0.0032126168224299,4.783280253179976e-05,0.2544666451820818,0.0014074544753786"
111,0,"0.0005841121495327,0.0005841121495327,0.0,0.2283742328331041,0.0001436943575864"
112,1,"0.0032126168224299,0.0035046728971962,0.0022090171149591,0.2540772547533411,0.0007998984749422"
113,1,"0.000876168224299,0.000876168224299,8.532166951982329e-08,0.2282800384702116,0.0001454120119454"
114,1,"0.0035046728971962,0.0035046728971962,1.114554782294805e-05,0.2544861460361842,0.0014529696583045"
115,1,"0.0017523364485981,0.0017523364485981,6.123588842183074e-06,0.254232867832351,0.0009176780698094"
116,2,"0.0084696261682242,0.0084696261682242,0.0040442366907509,0.2970029263595535,0.0083374867438502"
117,1,"0.0011682242990654,0.0011682242990654,3.5089267578667323e-06,0.2539412494934747,0.0008188007488036"
118,1,"0.0026285046728971,0.0026285046728971,9.899424792257476e-06,0.2543497027899945,0.0010078396325457"
119,1,"0.0011682242990654,0.0011682242990654,1.8446461607895665e-06,0.2539218320558318,0.0008957948631231"
120,1,"0.0005841121495327,0.0005841121495327,0.0,0.2694790002131111,0.0017538471637236"
121,1,"0.0005841121495327,0.0005841121495327,0.0,0.2694790002131111,0.0017538471637236"
122,1,"0.0002920560747663,0.0002920560747663,0.0,0.2329561360663744,0.0004519095964581"
123,2,"0.05928738317757,0.0601635514018691,0.0474302866918386,0.3703758331057515,0.0901816217405383"
124,2,"0.0178154205607476,0.0175233644859813,0.0041722953405388,0.3051074714834774,0.0312963509561212"
125,0,"0.0011682242990654,0.000876168224299,1.27982504279735e-07,0.2053800309002516,1.03091357609751e-05"
126,0,"0.000876168224299,0.000876168224299,4.2660834759911645e-08,0.2053673295996393,1.0166461818548108e-05"
127,0,"0.0005841121495327,0.000876168224299,0.0,0.2053546298699009,1.0019695710780743e-05"
128,1,"0.0037967289719626,0.0037967289719626,0.0082980331494402,0.2594164299372055,0.0006837347170802"
129,0,"0.0002920560747663,0.0002920560747663,0.0,0.205341931710745,9.872870471774e-06"
130,2,"0.0476051401869158,0.0476051401869158,0.0102958412556112,0.3454118701504231,0.1294284682427531"
131,2,"0.0020443925233644,0.0020443925233644,6.8168063272378565e-06,0.2597613985940369,0.0043161473084074"
132,1,"0.0023364485981308,0.0023364485981308,1.6078912462489018e-05,0.2807091901628206,0.0039635661176647"
133,1,"0.0055490654205607,0.0061331775700934,0.0005413237223444,0.2894943526829542,0.0093220009282606"
134,2,"0.0032126168224299,0.0032126168224299,0.0001408527419819,0.2848018627466697,0.0075450129711236"
135,2,"0.0481892523364485,0.0481892523364485,0.0100196624788392,0.346927467574819,0.1149610796773741"
136,2,"0.0122663551401869,0.0125584112149532,0.0052479630746055,0.3152748238513403,0.0271562000226044"
137,1,"0.0014602803738317,0.0014602803738317,2.391822612901699e-07,0.2469355829585193,0.0014347822522633"
138,2,"0.0017523364485981,0.0017523364485981,1.5439421471776125e-06,0.2810893617425231,0.0041136028313882"
139,1,"0.0005841121495327,0.0005841121495327,0.0009576908998959,0.1672436401906813,3.923293827906167e-07"
140,1,"0.0002920560747663,0.0002920560747663,0.0,0.201199013609583,1.3336836852767104e-05"
141,1,"0.000876168224299,0.000876168224299,0.0010412630130755,0.2520332209795209,0.0009301085739452"
142,1,"0.0020443925233644,0.0020443925233644,0.0012837791421433,0.2525699512949626,0.000958630956556"
143,1,"0.0005841121495327,0.0005841121495327,0.0003830494556799,0.1430080409812742,5.666094912062228e-09"
144,1,"0.000876168224299,0.000876168224299,0.0013424106670195,0.2012843811144483,1.3537839236240236e-05"
145,1,"0.0011682242990654,0.0011682242990654,2.4333542116899703e-05,0.2305623633705595,0.0001872071133494"
146,1,"0.0011682242990654,0.000876168224299,6.2541756873974895e-06,0.2014797791303342,2.7798319105448253e-05"
147,1,"0.000876168224299,0.000876168224299,3.128461215726854e-07,0.2012599830076465,1.3727674750121629e-05"
148,1,"0.0011682242990654,0.0011682242990654,0.0015335652422364,0.2013698210918785,2.71705225783368e-05"
149,2,"0.0052570093457943,0.0052570093457943,0.0031967527315821,0.2989009648628414,0.0098169475595152"
150,1,"0.0005841121495327,0.0005841121495327,0.0007677692228033,0.1671847011844217,1.954801018209329e-07"
151,1,"0.000876168224299,0.000876168224299,6.938776020324315e-05,0.2246509078356222,0.0001207263711703"
152,1,"0.0005841121495327,0.0005841121495327,0.0,0.2012112045338201,1.3535016954874457e-05"
153,1,"0.000876168224299,0.000876168224299,2.544082006243212e-06,0.2016755568824346,1.598308930261045e-05"
154,2,"0.0268691588785046,0.027161214953271,0.0280249730929608,0.3382003991879181,0.0634483764480735"
155,1,"0.000876168224299,0.000876168224299,2.548711410015234e-07,0.2520332209795209,0.0009431842308078"
156,1,"0.0026285046728971,0.0029205607476635,0.0053346885501241,0.2528391746327218,0.0009238817530666"
157,1,"0.0005841121495327,0.0005841121495327,0.0001931775495612,0.1429649440169695,2.8240517616486383e-09"
158,1,"0.0026285046728971,0.0029205607476635,0.0006294822739284,0.2525891625181538,0.0011173257141135"
159,1,"0.0005841121495327,0.0005841121495327,8.176659995649731e-07,0.1249121579697637,1.2259151312752008e-10"
160,1,"0.0032126168224299,0.0032126168224299,0.0049685213598859,0.2525123351552101,0.0011097587956691"
161,2,"0.0035046728971962,0.0035046728971962,0.0003747747259058,0.2945529288297115,0.0067875915486523"
162,1,"0.0023364485981308,0.0020443925233644,0.0001868879566446,0.2410386673169897,0.0007652062569991"
163,2,"0.0178154205607476,0.0186915887850467,0.0102701062112749,0.3181442536526315,0.0264141246198577"
164,2,"0.0353387850467289,0.0353387850467289,0.0222008150191841,0.3480546818599903,0.0637968612642543"
165,2,"0.0058411214953271,0.0058411214953271,0.0031941870441076,0.2714172226911457,0.0026806210317129"
166,2,"0.0108060747663551,0.0110981308411214,2.2736532660105968e-05,0.2808753886176239,0.0098666426715731"
167,2,"0.0210280373831775,0.0210280373831775,0.0012611855346242,0.3061199962782235,0.018409477039818"
168,2,"0.0391355140186915,0.0388434579439252,0.0278120793768446,0.3617417995235477,0.0604815863095812"
169,2,"0.009053738317757,0.0093457943925233,0.001380393304326,0.3040737770924062,0.0145927910771582"
170,2,"0.0166471962616822,0.0166471962616822,0.0030781320649018,0.3317803696299498,0.0308515962218468"
171,2,"0.0324182242990654,0.0327102803738317,0.0178699688344326,0.3347907772584099,0.0380849327143376"
172,1,"0.0058411214953271,0.0058411214953271,0.0001908263589352,0.2782629227104213,0.0051513102815467"
173,2,"0.0110981308411214,0.0110981308411214,0.0078636086525928,0.3012327394435929,0.0088283861221501"
174,2,"0.0043808411214953,0.0043808411214953,1.85111313889081e-05,0.2817810538503325,0.0072160471058254"
175,2,"0.0058411214953271,0.0058411214953271,0.0007161117255875,0.2848751582419291,0.0088935863044683"
176,2,"0.0084696261682242,0.0081775700934579,0.0067993303971178,0.2961025162395156,0.0102673961362292"
177,2,"0.0157710280373831,0.0157710280373831,0.0075650053193979,0.3218443225068975,0.0232817844543324"
178,2,"0.0365070093457943,0.0365070093457943,0.0312251122404392,0.3439807043325221,0.0510286875612757"
179,1,"0.0070093457943925,0.0067172897196261,8.567961023252374e-06,0.2816376659847484,0.0084746700800012"
180,2,"0.0297897196261682,0.0300817757009345,0.0087345348808128,0.3437670517211354,0.0367739608912452"
181,1,"0.0005841121495327,0.0005841121495327,3.002498696553531e-07,0.2567290080886098,0.0017142898894607"
182,1,"0.0052570093457943,0.0052570093457943,3.7677204844283167e-06,0.288563583561537,0.0207256815230159"
183,2,"0.0429322429906542,0.0429322429906542,0.0055107714457495,0.3481276569479157,0.1159716772802035"
184,1,"0.0014602803738317,0.0014602803738317,8.943505270655721e-06,0.2708858568909509,0.0044043712332022"
185,1,"0.0035046728971962,0.0035046728971962,1.1274151775581824e-05,0.2896205930251324,0.0133742930949824"
186,1,"0.0061331775700934,0.0061331775700934,1.1394494295140422e-05,0.2646680257931113,0.0160435152639078"
187,1,"0.0032126168224299,0.0032126168224299,1.1363856205985917e-07,0.2853157246864995,0.016000890547651"
188,2,"0.0254088785046728,0.0254088785046728,0.0006296081870778,0.3205395482264641,0.0872369534186942"
189,2,"0.0551985981308411,0.0557827102803738,0.0154180090985729,0.3702519477785894,0.1489574752351813"
190,2,"0.0148948598130841,0.0148948598130841,7.27847683454654e-05,0.2990355443157287,0.0577676589728648"
191,1,"0.0093457943925233,0.0093457943925233,1.3600786150103168e-05,0.292477516260892,0.0361823437243395"
192,1,"0.0058411214953271,0.0055490654205607,1.0520584605306107e-05,0.2922201442824857,0.0231156442743086"
193,0,"0.032126168224299,0.0318341121495327,0.0026834990685211,0.3343862369979024,0.0989332686948637"
194,1,"0.0070093457943925,0.0070093457943925,3.943259521110591e-05,0.2874396018026632,0.0208221920027275"
195,2,"0.0630841121495327,0.063376168224299,0.0293957637693664,0.3576510198843477,0.0812859398315871"
196,1,"0.0002920560747663,0.0002920560747663,0.0,0.2416349937878315,0.0005855918286887"
197,1,"0.0011682242990654,0.0011682242990654,3.454603848305918e-07,0.2580657226939826,0.0019913534699196"
198,1,"0.0023364485981308,0.0023364485981308,3.4039472931957e-07,0.2715281863962525,0.0049454657661516"
199,2,"0.0283294392523364,0.0283294392523364,0.0060941623670924,0.320168696454509,0.0405568298248031"
200,1,"0.0029205607476635,0.0029205607476635,7.10075091400807e-07,0.277774129621595,0.0064157379893944"
201,1,"0.0014602803738317,0.0017523364485981,1.4692978322497008e-05,0.2803537120832561,0.0042254753663921"
202,1,"0.000876168224299,0.0005841121495327,0.0,0.2450767320757319,0.000922002084975"
203,1,"0.0002920560747663,0.0002920560747663,0.0,0.207225567527374,1.694857449383111e-05"
204,1,"0.0014602803738317,0.0014602803738317,2.7304681745975194e-09,0.2689334078090515,0.0040917711379704"
205,2,"0.0075934579439252,0.0075934579439252,3.127020802013895e-05,0.294057355851073,0.0193066581719399"
206,1,"0.0005841121495327,0.0005841121495327,0.0,0.269895133259604,0.002253001526479"
207,1,"0.0005841121495327,0.0005841121495327,0.0,0.2643730371488073,0.0018675944296156"
208,2,"0.0297897196261682,0.0297897196261682,0.0038635893082217,0.3305255021027339,0.0480684531939385"
209,1,"0.0002920560747663,0.0002920560747663,0.0,0.2623885682384772,0.0011735614394625"
210,1,"0.0017523364485981,0.0017523364485981,5.048179095856095e-07,0.2605767199957759,0.0029641644982991"
211,1,"0.0002920560747663,0.0002920560747663,0.0,0.2623885682384772,0.0011735614394625"
212,2,"0.0067172897196261,0.0067172897196261,0.0001006062336148,0.296155330386709,0.0153369622845645"
213,1,"0.0002920560747663,0.0002920560747663,0.0,0.2623885682384772,0.0011735614394625"
214,1,"0.0032126168224299,0.0032126168224299,3.612417431102752e-07,0.2854874243144917,0.0084610207314262"
215,2,"0.0096378504672897,0.0096378504672897,8.671430193313715e-05,0.2974551880711365,0.0212833941841725"
216,1,"0.0002920560747663,0.0002920560747663,0.0,0.2416349937878315,0.0005855918286887"
217,1,"0.0020443925233644,0.0020443925233644,2.7304681745975194e-09,0.2723744848774744,0.0055208774130664"
218,2,"0.0195677570093457,0.0198598130841121,0.0004667019011564,0.3122510314646138,0.0341144345475805"
219,1,"0.0005841121495327,0.0005841121495327,0.0005756653042502,0.2624300394836548,0.0011738061956077"
220,2,"0.067464953271028,0.0677570093457943,0.0426577789278582,0.3829323938683311,0.165908900404549"
221,2,"0.0233644859813084,0.0233644859813084,0.0018727099834033,0.2843872329901659,0.0493269989700208"
222,2,"0.0186915887850467,0.0186915887850467,0.0002845303283891,0.3078510910935541,0.0643013761118316"
223,2,"0.0429322429906542,0.0426401869158878,0.0078073622739071,0.3490791253680403,0.122358338260998"
224,2,"0.0268691588785046,0.0268691588785046,0.0006040982047479,0.3059507757164333,0.0743760822192808"
225,2,"0.0254088785046728,0.0254088785046728,0.0070656594521062,0.3258871167444718,0.0624958584259061"
226,1,"0.0014602803738317,0.0014602803738317,1.9196588460741035e-06,0.2473217933735136,0.0027215435933071"
227,1,"0.0046728971962616,0.0046728971962616,4.362967454276147e-05,0.2620572695412064,0.0109437560031141"
228,2,"0.0227803738317757,0.0224883177570093,0.0027916163553039,0.3152748238513403,0.0652592768755118"
229,1,"0.0058411214953271,0.0058411214953271,3.017104073019665e-05,0.2918092899495754,0.0188082877537676"
230,1,"0.0035046728971962,0.0035046728971962,7.372591739266919e-06,0.2902534498405881,0.0143406404035285"
231,2,"0.0367990654205607,0.0367990654205607,0.0036665892420411,0.3075374809803823,0.0849772509429015"
232,2,"0.0286214953271028,0.0286214953271028,0.0036562391322252,0.3178093329147448,0.066300118250232"
233,2,"0.0137266355140186,0.0134345794392523,0.0016484113955964,0.3062046767751192,0.0512424719503209"
234,1,"0.0035046728971962,0.0035046728971962,4.0741085671582045e-06,0.294526804401434,0.0166617742227366"
235,1,"0.0110981308411214,0.0110981308411214,3.5174274497110574e-05,0.2741508890965218,0.0260041622295918"
236,2,"0.0073014018691588,0.0073014018691588,0.0008849984821196,0.2964990821094793,0.0162125847097581"
237,2,"0.0017523364485981,0.0017523364485981,1.2968952389002632e-06,0.2892925968835411,0.006226444587179"
238,2,"0.0055490654205607,0.0055490654205607,0.0003552529413699,0.2917323833458814,0.0083094925064911"
239,1,"0.000876168224299,0.000876168224299,0.0,0.2398548009841941,0.00066909529145"
240,1,"0.0023364485981308,0.0023364485981308,0.000421715587095,0.2561547145654249,0.0020586612034116"
241,1,"0.0011682242990654,0.000876168224299,0.0,0.2557601447648004,0.0026155251230856"
242,1,"0.0017523364485981,0.0017523364485981,3.5049616283370614e-08,0.2560164767270194,0.0032653710245053"
243,0,"0.000876168224299,0.000876168224299,0.0,0.255740448180683,0.002522552286429"
244,0,"0.0026285046728971,0.0026285046728971,2.8537819160040817e-07,0.2562535473127686,0.0039272643175841"
245,1,"0.000876168224299,0.000876168224299,0.0,0.255740448180683,0.002522552286429"
246,1,"0.0014602803738317,0.0017523364485981,6.616460793879655e-08,0.2559178267282805,0.0028120812294795"
247,1,"0.0017523364485981,0.0017523364485981,1.1908517263060069e-06,0.2890659574883503,0.0085475202440711"
248,1,"0.0064252336448598,0.0064252336448598,0.0005405617856465,0.2888647981581566,0.0099347869434585"
249,2,"0.0011682242990654,0.0011682242990654,7.414738275994934e-05,0.2431032005582846,0.0011268552159048"
250,1,"0.0023364485981308,0.0023364485981308,7.553379442854077e-06,0.2414241889949958,0.0011735355735765"
251,2,"0.0029205607476635,0.0032126168224299,0.000207970529805,0.2927095389710152,0.0060047685399634"
252,2,"0.0037967289719626,0.0035046728971962,0.0006410680608765,0.2927353419980754,0.0063239823712406"
253,1,"0.0017523364485981,0.0020443925233644,4.322522387198314e-05,0.2395952178662458,0.0010240732484661"
254,2,"0.0081775700934579,0.0078855140186915,0.0003195266274297,0.3012600670984458,0.0172880837281512"
255,1,"0.0005841121495327,0.0005841121495327,0.0,0.225704459975951,0.0001060727333168"
256,1,"0.0017523364485981,0.0017523364485981,3.50219288088382e-06,0.2380494422671088,0.0007991558053254"
257,2,"0.0096378504672897,0.0096378504672897,0.0024700292893699,0.3058662355739309,0.0196514120096521"
258,0,"0.0043808411214953,0.0043808411214953,1.3978463788695218e-06,0.2755613409365337,0.005128702417098"
259,2,"0.0435163551401869,0.0438084112149532,0.0174115010350671,0.3450171137273941,0.0407675841850149"
260,2,"0.0160630841121495,0.0160630841121495,0.0001430032669691,0.2832230038060698,0.0129264501967123"
261,2,"0.0084696261682242,0.0084696261682242,3.0856458023181744e-05,0.2821881134964453,0.0090502941578771"
262,2,"0.0259929906542056,0.0259929906542056,0.0018714026000953,0.2996021038998708,0.0182790726287382"
263,2,"0.0204439252336448,0.0204439252336448,0.0004203905432484,0.2857822478163656,0.0147853117333877"
264,2,"0.0315420560747663,0.0315420560747663,0.0082954952372488,0.3161753517686535,0.0276269517510026"
265,1,"0.0052570093457943,0.0052570093457943,4.5385363815444605e-06,0.2753100414215029,0.0049259697077904"
266,0,"0.0020443925233644,0.0020443925233644,4.818693473962011e-06,0.2713950408324753,0.0027669785594513"
267,1,"0.0002920560747663,0.0002920560747663,0.0,0.239353446707955,0.0003988207126449"
268,2,"0.0172313084112149,0.0172313084112149,0.0005243493863023,0.2843628805982332,0.0124324362926778"
269,1,"0.0011682242990654,0.0011682242990654,0.0,0.2385624798582017,0.0007963545165042"
270,1,"0.0055490654205607,0.0055490654205607,6.110935259497436e-06,0.2726428341236591,0.0047810192816578"
271,0,"0.0035046728971962,0.0035046728971962,3.333710128117428e-07,0.274808814930997,0.0047163080229407"
272,2,"0.0137266355140186,0.0137266355140186,0.0001242585954849,0.2844846842822041,0.013215321165552"
273,1,"0.0005841121495327,0.0005841121495327,0.0,0.2230664149678355,0.0002550754422813"
274,1,"0.0017523364485981,0.0017523364485981,1.1804790568384453e-07,0.2677624350609714,0.0024352435307048"
275,2,"0.0108060747663551,0.0108060747663551,0.000651942934261,0.2766402632144425,0.0076903827292416"
