node_id,feat
48,"0.0070093457943925,0.0067172897196261,0.0046723632530244,0.300932462131959,0.0107474542730015,0.3080188679245283"
44,"0.0052570093457943,0.0052570093457943,0.0014445973177938,0.2778438520436888,0.0045913748256979,0.3431372549019608"
47,"0.0002920560747663,0.0002920560747663,0.0,0.2236523248670641,9.802862634578287e-05,0.0"
46,"0.0005841121495327,0.0005841121495327,3.106759639404204e-06,0.2305463565416667,0.0001565972711672,0.0"
49,"0.0055490654205607,0.0055490654205607,4.765227670504574e-06,0.2775419740598553,0.0185487904504657,0.327485380116959"
57,"0.0397196261682243,0.0400116822429906,0.0078023684715927,0.3640817585381173,0.1261915152549076,0.282953070934256"
50,"0.0143107476635514,0.0143107476635514,0.0002106828434609,0.300932462131959,0.0497866338091235,0.5063775510204082"
51,"0.0210280373831775,0.0213200934579439,0.000693364943852,0.3000894378841648,0.0614114163782655,0.2955246913580246"
52,"0.0292056074766355,0.0294976635514018,0.00152970064068,0.3336806390299606,0.1003065841361986,0.3694"
54,"0.0242406542056074,0.0233644859813084,0.002130387669135,0.3021371776568254,0.0695220037721762,0.3150956336203612"
53,"0.0160630841121495,0.0154789719626168,0.0002541512145287,0.3118112412794523,0.0551826020634403,0.4157205240174672"
55,"0.0011682242990654,0.0011682242990654,5.535588740901445e-08,0.2735636971436006,0.0060160702512565,0.8333333333333334"
56,"0.0242406542056074,0.0242406542056074,0.0009632486144347,0.3029088497333,0.0710273370488052,0.2902526810636109"
58,"0.0002920560747663,0.0002920560747663,0.0,0.2019453733657363,1.992269893835354e-05,0.0"
67,"0.0005841121495327,0.0005841121495327,0.0005756653042502,0.2540189489502156,0.0013804440048152,0.0"
59,"0.0359228971962616,0.0359228971962616,0.0188580241405457,0.3422083387908252,0.0956286809780836,0.220970912604538"
60,"0.0011682242990654,0.0011682242990654,3.697272345859009e-07,0.2540578165118329,0.0014421420368872,0.5"
61,"0.000876168224299,0.0011682242990654,1.473037918281076e-06,0.2540966959695591,0.0014580766430962,0.4444444444444444"
63,"0.0005841121495327,0.0005841121495327,0.0,0.2540383812443519,0.0014011995388941,1.0"
65,"0.0005841121495327,0.0005841121495327,0.0,0.2539995196287416,0.0014009695862011,1.0"
66,"0.0005841121495327,0.0005841121495327,0.0,0.256570325243465,0.002369036225388,1.0"
68,"0.000876168224299,0.000876168224299,0.0,0.2600054587868907,0.0025996685071478,1.0"
69,"0.0002920560747663,0.0002920560747663,0.0,0.2539800932792481,0.0013801564885168,0.0"
71,"0.000876168224299,0.000876168224299,4.690685620621304e-06,0.2600054587868907,0.0025198214882363,0.6666666666666666"
73,"0.0087616822429906,0.0087616822429906,4.408733762425055e-05,0.2878382352107279,0.0264770945501876,0.4137931034482758"
74,"0.0011682242990654,0.0011682242990654,2.145473926441553e-06,0.2546422605341744,0.0017698518266633,0.3333333333333333"
75,"0.0005841121495327,0.0005841121495327,0.0005756653042502,0.2540189489502156,0.0013804440048152,0.0"
76,"0.0017523364485981,0.0014602803738317,2.0846613070923973e-05,0.2802590699321604,0.006049727767022,0.56"
62,"0.0002920560747663,0.0002920560747663,0.0,0.2019453733657363,1.992269893835354e-05,0.0"
64,"0.0005841121495327,0.0005841121495327,0.0,0.2503988628884156,0.0011593001823595,1.0"
72,"0.0020443925233644,0.0020443925233644,3.779419911988479e-06,0.2656206782615716,0.0066920256576503,0.6190476190476191"
70,"0.0303738317757009,0.0303738317757009,0.0141108641102202,0.3255357043060649,0.0836588453678192,0.2534422403733956"
77,"0.0014602803738317,0.0023364485981308,0.0043130957158965,0.2253215985633171,0.0001012885416353,0.0273972602739726"
78,"0.0002920560747663,0.0002920560747663,0.0002877899912903,0.1834663816382567,1.4628729678440968e-06,0.0"
79,"0.0002920560747663,0.0002920560747663,0.0005755799825807,0.1834663816382567,1.4628729678440968e-06,0.0"
80,"0.0002920560747663,0.0002920560747663,0.0002877899912903,0.1834663816382567,1.4628729678440968e-06,0.0"
81,"0.0002920560747663,0.0005841121495327,0.0,0.1833778629204356,1.4628729678440968e-06,1.0"
832,"0.0002920560747663,0.0002920560747663,0.0,0.1833778629204356,1.4628729678440968e-06,0.0"
3409,"0.0002920560747663,0.0,0.0,0.1547465738974594,2.1132866863790358e-08,0.0"
82,"0.0002920560747663,0.0002920560747663,0.0002878753129598,0.1547465738974594,2.1132866863790358e-08,0.0"
3410,"0.0002920560747663,0.0,0.0,0.1547465738974594,2.1132866863790358e-08,0.0"
833,"0.0005841121495327,0.0002920560747663,0.0,0.1833879898181007,1.4840058347078871e-06,1.0"
3411,"0.0002920560747663,0.0,0.0,0.1338174266546868,3.053902974792049e-10,0.0"
83,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892,0.0"
93,"0.0227803738317757,0.0227803738317757,0.0194751047846001,0.3253443440409688,0.0231291085573493,0.1575091575091575"
84,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322,1.0"
85,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892,0.0"
86,"0.0014602803738317,0.0014602803738317,4.2660834759911645e-08,0.2446974961039104,0.0004565302719076,0.9"
87,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892,0.0"
88,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322,1.0"
89,"0.0108060747663551,0.0116822429906542,0.0006145418239222,0.2918092899495754,0.0143353089047545,0.1868512110726643"
90,"0.000876168224299,0.000876168224299,0.0,0.2446614395952382,0.0004330012312947,1.0"
91,"0.0023364485981308,0.0023364485981308,9.097320425962296e-07,0.2757214978102099,0.0033794395024612,0.75"
92,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322,1.0"
94,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322,1.0"
95,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322,1.0"
96,"0.0014602803738317,0.0014602803738317,1.0324722287298154e-06,0.2452758490011203,0.000560868089806,0.7"
97,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892,0.0"
98,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322,1.0"
99,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892,0.0"
100,"0.0011682242990654,0.0011682242990654,0.0005756653042502,0.2446974961039104,0.0004208369948956,0.5"
101,"0.000876168224299,0.000876168224299,3.668831789352402e-07,0.2283271259368927,0.0001276757132547,0.6666666666666666"
113,"0.000876168224299,0.000876168224299,8.532166951982329e-08,0.2282800384702116,0.0001454120119454,0.6666666666666666"
102,"0.0005841121495327,0.0005841121495327,0.0,0.233595225072184,0.0002435948914197,1.0"
103,"0.0131425233644859,0.0128504672897196,0.0087044359857323,0.2970826372898701,0.0085382270743379,0.212293388429752"
116,"0.0084696261682242,0.0084696261682242,0.0040442366907509,0.2970029263595535,0.0083374867438502,0.2747692307692307"
111,"0.0005841121495327,0.0005841121495327,0.0,0.2283742328331041,0.0001436943575864,1.0"
114,"0.0035046728971962,0.0035046728971962,1.114554782294805e-05,0.2544861460361842,0.0014529696583045,0.6666666666666666"
104,"0.000876168224299,0.000876168224299,3.5089267578667323e-06,0.2538441919909928,0.0007812518413268,0.6666666666666666"
109,"0.0262850467289719,0.0268691588785046,0.0396414475078415,0.3410485487959503,0.0482849853029327,0.1703192723276967"
105,"0.0052570093457943,0.0052570093457943,0.0029559855930515,0.2545836951568666,0.001416145964341,0.2418300653594771"
110,"0.0032126168224299,0.0032126168224299,4.783280253179976e-05,0.2544666451820818,0.0014074544753786,0.6727272727272727"
106,"0.0029205607476635,0.0029205607476635,0.0005838455123928,0.2543886716428809,0.0013526360964156,0.5333333333333333"
107,"0.000876168224299,0.000876168224299,3.5089267578667323e-06,0.2538247893928126,0.0007568574945244,0.6666666666666666"
108,"0.0146028037383177,0.0143107476635514,0.0112513463212447,0.3224067688957445,0.0268582075531045,0.2838400666389004"
117,"0.0011682242990654,0.0011682242990654,3.5089267578667323e-06,0.2539412494934747,0.0008188007488036,0.8333333333333334"
118,"0.0026285046728971,0.0026285046728971,9.899424792257476e-06,0.2543497027899945,0.0010078396325457,0.6666666666666666"
119,"0.0011682242990654,0.0011682242990654,1.8446461607895665e-06,0.2539218320558318,0.0008957948631231,0.6666666666666666"
112,"0.0032126168224299,0.0035046728971962,0.0022090171149591,0.2540772547533411,0.0007998984749422,0.1363636363636363"
115,"0.0017523364485981,0.0017523364485981,6.123588842183074e-06,0.254232867832351,0.0009176780698094,0.7333333333333333"
120,"0.0005841121495327,0.0005841121495327,0.0,0.2694790002131111,0.0017538471637236,1.0"
123,"0.05928738317757,0.0601635514018691,0.0474302866918386,0.3703758331057515,0.0901816217405383,0.1254430334122283"
124,"0.0178154205607476,0.0175233644859813,0.0041722953405388,0.3051074714834774,0.0312963509561212,0.48"
121,"0.0005841121495327,0.0005841121495327,0.0,0.2694790002131111,0.0017538471637236,1.0"
122,"0.0002920560747663,0.0002920560747663,0.0,0.2329561360663744,0.0004519095964581,0.0"
125,"0.0011682242990654,0.000876168224299,1.2798250427973498e-07,0.2053800309002516,1.03091357609751e-05,0.6666666666666666"
126,"0.000876168224299,0.000876168224299,4.2660834759911645e-08,0.2053673295996393,1.016646181854811e-05,0.8333333333333334"
128,"0.0037967289719626,0.0037967289719626,0.0082980331494402,0.2594164299372055,0.0006837347170802,0.0732484076433121"
127,"0.0005841121495327,0.000876168224299,0.0,0.2053546298699009,1.0019695710780743e-05,1.0"
129,"0.0002920560747663,0.0002920560747663,0.0,0.205341931710745,9.872870471774002e-06,0.0"
136,"0.0122663551401869,0.0125584112149532,0.0052479630746055,0.3152748238513403,0.0271562000226044,0.2606970813261547"
138,"0.0017523364485981,0.0017523364485981,1.5439421471776125e-06,0.2810893617425231,0.0041136028313882,0.8032786885245902"
130,"0.0476051401869158,0.0476051401869158,0.0102958412556112,0.3454118701504231,0.1294284682427532,0.2330530939937893"
131,"0.0020443925233644,0.0020443925233644,6.8168063272378565e-06,0.2597613985940369,0.0043161473084074,0.6666666666666666"
134,"0.0032126168224299,0.0032126168224299,0.0001408527419819,0.2848018627466697,0.0075450129711236,0.4751131221719457"
132,"0.0023364485981308,0.0023364485981308,1.6078912462489018e-05,0.2807091901628206,0.0039635661176647,0.6964285714285714"
137,"0.0014602803738317,0.0014602803738317,2.391822612901699e-07,0.2469355829585193,0.0014347822522633,0.8"
133,"0.0055490654205607,0.0061331775700934,0.0005413237223444,0.2894943526829542,0.0093220009282606,0.4257555847568988"
135,"0.0481892523364485,0.0481892523364485,0.0100196624788392,0.346927467574819,0.1149610796773741,0.1654471544715447"
139,"0.0005841121495327,0.0005841121495327,0.0009576908998959,0.1672436401906813,3.923293827906167e-07,0.0"
143,"0.0005841121495327,0.0005841121495327,0.0003830494556799,0.1430080409812742,5.6660949120622295e-09,0.0"
148,"0.0011682242990654,0.0011682242990654,0.0015335652422364,0.2013698210918785,2.7170522578336797e-05,0.1666666666666666"
140,"0.0002920560747663,0.0002920560747663,0.0,0.201199013609583,1.3336836852767104e-05,0.0"
156,"0.0026285046728971,0.0029205607476635,0.0053346885501241,0.2528391746327218,0.0009238817530666,0.0925925925925925"
141,"0.000876168224299,0.000876168224299,0.0010412630130755,0.2520332209795209,0.0009301085739452,0.3333333333333333"
142,"0.0020443925233644,0.0020443925233644,0.0012837791421433,0.2525699512949626,0.000958630956556,0.2"
154,"0.0268691588785046,0.027161214953271,0.0280249730929608,0.3382003991879181,0.0634483764480735,0.2185340499675152"
146,"0.0011682242990654,0.000876168224299,6.2541756873974895e-06,0.2014797791303342,2.7798319105448253e-05,0.3888888888888889"
151,"0.000876168224299,0.000876168224299,6.938776020324315e-05,0.2246509078356222,0.0001207263711703,0.3333333333333333"
153,"0.000876168224299,0.000876168224299,2.544082006243212e-06,0.2016755568824346,1.598308930261045e-05,0.5"
155,"0.000876168224299,0.000876168224299,2.548711410015234e-07,0.2520332209795209,0.0009431842308078,0.6666666666666666"
159,"0.0005841121495327,0.0005841121495327,8.176659995649731e-07,0.1249121579697637,1.2259151312752015e-10,0.0"
144,"0.000876168224299,0.000876168224299,0.0013424106670195,0.2012843811144483,1.3537839236240236e-05,0.3333333333333333"
147,"0.000876168224299,0.000876168224299,3.128461215726854e-07,0.2012599830076465,1.3727674750121629e-05,0.6666666666666666"
150,"0.0005841121495327,0.0005841121495327,0.0007677692228033,0.1671847011844217,1.954801018209329e-07,0.0"
145,"0.0011682242990654,0.0011682242990654,2.4333542116899703e-05,0.2305623633705595,0.0001872071133494,0.4166666666666667"
149,"0.0052570093457943,0.0052570093457943,0.0031967527315821,0.2989009648628414,0.0098169475595152,0.2947882736156352"
158,"0.0026285046728971,0.0029205607476635,0.0006294822739284,0.2525891625181538,0.0011173257141135,0.2760736196319018"
160,"0.0032126168224299,0.0032126168224299,0.0049685213598859,0.2525123351552101,0.0011097587956691,0.2454545454545454"
152,"0.0005841121495327,0.0005841121495327,0.0,0.2012112045338201,1.3535016954874457e-05,1.0"
157,"0.0005841121495327,0.0005841121495327,0.0001931775495612,0.1429649440169695,2.824051761648639e-09,0.0"
161,"0.0035046728971962,0.0035046728971962,0.0003747747259058,0.2945529288297115,0.0067875915486523,0.3735849056603773"
358,"0.0531542056074766,0.0549065420560747,0.0593504602227105,0.3840839370374934,0.1027452546358129,0.1385220980274077"
359,"0.0286214953271028,0.0318341121495327,0.0151047603172221,0.3384071863473115,0.0454924130476123,0.15811542991755"
162,"0.0023364485981308,0.0020443925233644,0.0001868879566446,0.2410386673169897,0.0007652062569991,0.3265306122448979"
163,"0.0178154205607476,0.0186915887850467,0.0102701062112749,0.3181442536526315,0.0264141246198577,0.171931877275091"
164,"0.0353387850467289,0.0353387850467289,0.0222008150191841,0.3480546818599903,0.0637968612642543,0.1977204641713439"
178,"0.0365070093457943,0.0365070093457943,0.0312251122404392,0.3439807043325221,0.0510286875612757,0.174258064516129"
165,"0.0058411214953271,0.0058411214953271,0.0031941870441076,0.2714172226911457,0.0026806210317129,0.3263157894736842"
166,"0.0108060747663551,0.0110981308411214,2.2736532660105968e-05,0.2808753886176239,0.0098666426715731,0.6194302410518627"
167,"0.0210280373831775,0.0210280373831775,0.0012611855346242,0.3061199962782235,0.018409477039818,0.3186619718309859"
168,"0.0391355140186915,0.0388434579439252,0.0278120793768446,0.3617417995235477,0.0604815863095812,0.2071909096048391"
169,"0.009053738317757,0.0093457943925233,0.001380393304326,0.3040737770924062,0.0145927910771582,0.4464099895941727"
170,"0.0166471962616822,0.0166471962616822,0.0030781320649018,0.3317803696299498,0.0308515962218468,0.3380325814536341"
180,"0.0297897196261682,0.0300817757009345,0.0087345348808128,0.3437670517211354,0.0367739608912452,0.259034986543637"
171,"0.0324182242990654,0.0327102803738317,0.0178699688344326,0.3347907772584099,0.0380849327143376,0.1738901063225387"
172,"0.0058411214953271,0.0058411214953271,0.0001908263589352,0.2782629227104213,0.0051513102815467,0.4210526315789473"
173,"0.0110981308411214,0.0110981308411214,0.0078636086525928,0.3012327394435929,0.0088283861221501,0.2112375533428165"
174,"0.0043808411214953,0.0043808411214953,1.85111313889081e-05,0.2817810538503325,0.0072160471058254,0.8476190476190476"
175,"0.0058411214953271,0.0058411214953271,0.0007161117255875,0.2848751582419291,0.0088935863044683,0.6052631578947368"
176,"0.0084696261682242,0.0081775700934579,0.0067993303971178,0.2961025162395156,0.0102673961362292,0.3411989795918367"
177,"0.0157710280373831,0.0157710280373831,0.0075650053193979,0.3218443225068975,0.0232817844543324,0.2645003494060098"
179,"0.0070093457943925,0.0067172897196261,8.567961023252374e-06,0.2816376659847484,0.0084746700800012,0.7391304347826086"
181,"0.0005841121495327,0.0005841121495327,3.002498696553531e-07,0.2567290080886098,0.0017142898894607,0.0"
184,"0.0014602803738317,0.0014602803738317,8.943505270655721e-06,0.2708858568909509,0.0044043712332022,0.2"
182,"0.0052570093457943,0.0052570093457943,3.7677204844283167e-06,0.288563583561537,0.0207256815230159,0.6013071895424836"
183,"0.0429322429906542,0.0429322429906542,0.0055107714457495,0.3481276569479157,0.1159716772802035,0.2165222253284875"
185,"0.0035046728971962,0.0035046728971962,1.1274151775581824e-05,0.2896205930251324,0.0133742930949824,0.5757575757575758"
189,"0.0551985981308411,0.0557827102803738,0.0154180090985729,0.3702519477785894,0.1489574752351814,0.200662749575339"
188,"0.0254088785046728,0.0254088785046728,0.0006296081870778,0.3205395482264641,0.0872369534186942,0.3905372894947875"
191,"0.0093457943925233,0.0093457943925233,1.3600786150103168e-05,0.292477516260892,0.0361823437243395,0.5433249370277078"
193,"0.032126168224299,0.0318341121495327,0.0026834990685211,0.3343862369979024,0.0989332686948637,0.2935358976517128"
194,"0.0070093457943925,0.0070093457943925,3.943259521110591e-05,0.2874396018026632,0.0208221920027275,0.3170289855072464"
186,"0.0061331775700934,0.0061331775700934,1.1394494295140422e-05,0.2646680257931113,0.0160435152639078,0.2928571428571428"
190,"0.0148948598130841,0.0148948598130841,7.27847683454654e-05,0.2990355443157287,0.0577676589728648,0.5078431372549019"
187,"0.0032126168224299,0.0032126168224299,1.1363856205985917e-07,0.2853157246864995,0.016000890547651,0.8909090909090909"
192,"0.0058411214953271,0.0055490654205607,1.0520584605306107e-05,0.2922201442824857,0.0231156442743086,0.6113416320885201"
195,"0.0630841121495327,0.063376168224299,0.0293957637693664,0.3576510198843477,0.0812859398315871,0.1127507716049382"
206,"0.0005841121495327,0.0005841121495327,0.0,0.269895133259604,0.002253001526479,1.0"
207,"0.0005841121495327,0.0005841121495327,0.0,0.2643730371488073,0.0018675944296156,1.0"
209,"0.0002920560747663,0.0002920560747663,0.0,0.2623885682384772,0.0011735614394625,0.0"
211,"0.0002920560747663,0.0002920560747663,0.0,0.2623885682384772,0.0011735614394625,0.0"
213,"0.0002920560747663,0.0002920560747663,0.0,0.2623885682384772,0.0011735614394625,0.0"
219,"0.0005841121495327,0.0005841121495327,0.0005756653042502,0.2624300394836548,0.0011738061956077,0.0"
196,"0.0002920560747663,0.0002920560747663,0.0,0.2416349937878315,0.0005855918286887,0.0"
199,"0.0283294392523364,0.0283294392523364,0.0060941623670924,0.320168696454509,0.0405568298248031,0.25"
197,"0.0011682242990654,0.0011682242990654,3.454603848305918e-07,0.2580657226939826,0.0019913534699196,0.5"
212,"0.0067172897196261,0.0067172897196261,0.0001006062336148,0.296155330386709,0.0153369622845645,0.6442687747035574"
198,"0.0023364485981308,0.0023364485981308,3.4039472931957e-07,0.2715281863962525,0.0049454657661516,0.7857142857142857"
215,"0.0096378504672897,0.0096378504672897,8.671430193313715e-05,0.2974551880711365,0.0212833941841725,0.6231060606060606"
218,"0.0195677570093457,0.0198598130841121,0.0004667019011564,0.3122510314646138,0.0341144345475805,0.4271076957344916"
200,"0.0029205607476635,0.0029205607476635,7.10075091400807e-07,0.277774129621595,0.0064157379893944,0.7777777777777778"
201,"0.0014602803738317,0.0017523364485981,1.4692978322497008e-05,0.2803537120832561,0.0042254753663921,0.8"
202,"0.000876168224299,0.0005841121495327,0.0,0.2450767320757319,0.000922002084975,1.0"
208,"0.0297897196261682,0.0297897196261682,0.0038635893082217,0.3305255021027339,0.0480684531939385,0.278683750728014"
210,"0.0017523364485981,0.0017523364485981,5.048179095856095e-07,0.2605767199957759,0.0029641644982991,0.5333333333333333"
216,"0.0002920560747663,0.0002920560747663,0.0,0.2416349937878315,0.0005855918286887,0.0"
203,"0.0002920560747663,0.0002920560747663,0.0,0.207225567527374,1.694857449383111e-05,0.0"
204,"0.0014602803738317,0.0014602803738317,2.7304681745975194e-09,0.2689334078090515,0.0040917711379704,0.9"
205,"0.0075934579439252,0.0075934579439252,3.127020802013895e-05,0.294057355851073,0.0193066581719399,0.8276923076923077"
214,"0.0032126168224299,0.0032126168224299,3.612417431102752e-07,0.2854874243144917,0.0084610207314262,0.9272727272727272"
217,"0.0020443925233644,0.0020443925233644,2.7304681745975194e-09,0.2723744848774744,0.0055208774130664,0.9523809523809524"
220,"0.067464953271028,0.0677570093457943,0.0426577789278582,0.3829323938683311,0.165908900404549,0.1620978470647754"
230,"0.0035046728971962,0.0035046728971962,7.372591739266919e-06,0.2902534498405881,0.0143406404035285,0.5"
234,"0.0035046728971962,0.0035046728971962,4.0741085671582045e-06,0.294526804401434,0.0166617742227366,0.7121212121212122"
225,"0.0254088785046728,0.0254088785046728,0.0070656594521062,0.3258871167444718,0.0624958584259061,0.2263861055444221"
221,"0.0233644859813084,0.0233644859813084,0.0018727099834033,0.2843872329901659,0.0493269989700208,0.2257911392405063"
222,"0.0186915887850467,0.0186915887850467,0.0002845303283891,0.3078510910935541,0.0643013761118316,0.4104662698412698"
223,"0.0429322429906542,0.0426401869158878,0.0078073622739071,0.3490791253680403,0.122358338260998,0.2395984802289038"
224,"0.0268691588785046,0.0268691588785046,0.0006040982047479,0.3059507757164333,0.0743760822192808,0.2541057031949836"
226,"0.0014602803738317,0.0014602803738317,1.9196588460741035e-06,0.2473217933735136,0.0027215435933071,0.2"
228,"0.0227803738317757,0.0224883177570093,0.0027916163553039,0.3152748238513403,0.0652592768755118,0.3076404115365154"
229,"0.0058411214953271,0.0058411214953271,3.017104073019665e-05,0.2918092899495754,0.0188082877537676,0.3526315789473684"
232,"0.0286214953271028,0.0286214953271028,0.0036562391322252,0.3178093329147448,0.066300118250232,0.1751525352409005"
233,"0.0137266355140186,0.0134345794392523,0.0016484113955964,0.3062046767751192,0.0512424719503209,0.5129962192816635"
235,"0.0110981308411214,0.0110981308411214,3.5174274497110574e-05,0.2741508890965218,0.0260041622295918,0.2958748221906117"
227,"0.0046728971962616,0.0046728971962616,4.362967454276147e-05,0.2620572695412064,0.0109437560031141,0.35"
231,"0.0367990654205607,0.0367990654205607,0.0036665892420411,0.3075374809803823,0.0849772509429015,0.1934224310339354"
236,"0.0073014018691588,0.0073014018691588,0.0008849984821196,0.2964990821094793,0.0162125847097581,0.4216666666666667"
239,"0.000876168224299,0.000876168224299,0.0,0.2398548009841941,0.00066909529145,1.0"
240,"0.0023364485981308,0.0023364485981308,0.000421715587095,0.2561547145654249,0.0020586612034116,0.5714285714285714"
237,"0.0017523364485981,0.0017523364485981,1.2968952389002632e-06,0.2892925968835411,0.006226444587179,0.7333333333333333"
238,"0.0055490654205607,0.0055490654205607,0.0003552529413699,0.2917323833458814,0.0083094925064911,0.2982456140350877"
241,"0.0011682242990654,0.000876168224299,0.0,0.2557601447648004,0.0026155251230856,1.0"
242,"0.0017523364485981,0.0017523364485981,3.5049616283370614e-08,0.2560164767270194,0.0032653710245053,0.8666666666666667"
243,"0.000876168224299,0.000876168224299,0.0,0.255740448180683,0.002522552286429,1.0"
