,src_id,dst_id
0,0,7
1,1,7
2,1,9
3,2,7
4,2,13
5,3,7
6,3,10
7,3,15
8,3,16
9,4,6
10,4,7
11,5,10
12,6,4
13,7,0
14,7,1
15,7,2
16,7,3
17,7,4
18,7,8
19,7,14
20,8,7
21,8,10
22,8,16
23,9,1
24,10,3
25,10,5
26,10,8
27,10,14
28,11,14
29,11,16
30,12,14
31,13,2
32,13,14
33,14,7
34,14,10
35,14,11
36,14,12
37,14,13
38,15,3
39,16,3
40,16,8
41,16,11
42,17,19
43,17,13
44,2,13
45,18,19
46,19,17
47,19,18
48,19,20
49,19,22
50,19,13
51,19,23
52,19,24
53,19,25
54,20,19
55,21,13
56,22,19
57,13,17
58,13,2
59,13,19
60,23,19
61,24,19
62,25,19
63,26,30
64,27,30
65,27,32
66,28,30
67,29,31
68,29,33
69,30,26
70,30,27
71,30,28
72,30,31
73,30,33
74,31,29
75,31,30
76,31,33
77,32,27
78,33,29
79,33,30
80,33,31
81,34,37
82,34,42
83,35,42
84,36,34
85,36,39
86,36,42
87,37,34
88,37,42
89,38,40
90,38,42
91,39,36
92,39,42
93,40,42
94,41,42
95,42,34
96,42,35
97,42,36
98,42,37
99,42,38
100,42,39
101,42,40
102,42,41
103,43,45
104,43,48
105,44,45
106,45,43
107,45,44
108,45,47
109,45,48
110,46,48
111,47,45
112,48,43
113,48,45
114,48,46
115,49,57
116,50,57
117,51,57
118,52,54
119,53,57
120,54,57
121,55,57
122,56,52
123,57,49
124,57,50
125,57,51
126,57,53
127,57,54
128,57,55
129,58,67
130,59,60
131,59,61
132,59,63
133,59,65
134,59,66
135,59,67
136,59,68
137,59,69
138,59,71
139,59,73
140,59,74
141,59,75
142,59,76
143,60,59
144,60,65
145,61,59
146,61,63
147,61,76
148,62,75
149,63,59
150,63,61
151,64,71
152,65,59
153,65,60
154,66,59
155,67,58
156,67,59
157,68,59
158,68,72
159,69,59
160,70,76
161,71,59
162,71,64
163,72,68
164,73,59
165,74,59
166,75,59
167,75,62
168,76,59
169,76,70
170,77,78
171,77,79
172,77,80
173,77,81
174,77,832
175,78,3409
176,79,82
177,80,3410
178,81,833
179,82,3411
180,83,93
181,84,93
182,85,93
183,86,93
184,87,93
185,88,93
186,89,93
187,90,93
188,91,93
189,92,93
190,93,83
191,93,84
192,93,85
193,93,86
194,93,87
195,93,88
196,93,89
197,93,90
198,93,91
199,93,92
200,93,94
201,93,95
202,93,96
203,93,97
204,93,98
205,93,99
206,93,100
207,94,93
208,95,93
209,96,93
210,97,93
211,98,93
212,99,93
213,100,93
214,101,113
215,102,103
216,102,116
217,103,102
218,103,111
219,103,114
220,104,109
221,105,110
222,105,111
223,106,107
224,107,106
225,107,109
226,108,114
227,109,104
228,109,107
229,109,114
230,109,117
231,109,118
232,109,119
233,110,105
234,110,113
235,110,114
236,110,118
237,111,103
238,111,105
239,112,114
240,113,101
241,113,110
242,114,103
243,114,108
244,114,109
245,114,110
246,114,112
247,114,115
248,114,118
249,115,114
250,116,102
251,116,119
252,117,109
253,117,118
254,118,109
255,118,110
256,118,114
257,118,117
258,119,109
259,119,116
260,120,123
261,120,124
262,121,123
263,121,124
264,122,124
265,123,120
266,123,121
267,124,120
268,124,121
269,124,122
270,125,126
271,125,128
272,126,125
273,126,127
274,126,128
275,127,126
276,127,128
277,128,125
278,128,126
279,128,127
280,128,129
281,129,128
282,35,39
283,35,136
284,35,138
285,130,131
286,131,130
287,131,39
288,131,134
289,132,137
290,39,35
291,39,131
292,39,133
293,39,134
294,39,136
295,39,137
296,133,39
297,133,136
298,134,131
299,134,39
300,134,135
301,134,138
302,135,134
303,136,35
304,136,39
305,136,133
306,136,138
307,137,132
308,137,39
309,138,35
310,138,134
311,138,136
312,139,143
313,139,148
314,140,156
315,141,142
316,141,148
317,141,154
318,142,141
319,142,146
320,142,151
321,142,153
322,142,154
323,142,155
324,143,139
325,143,159
326,144,147
327,144,150
328,144,156
329,145,149
330,145,156
331,145,158
332,145,160
333,146,148
334,146,153
335,146,156
336,147,144
337,147,152
338,147,156
339,148,139
340,148,141
341,148,146
342,148,156
343,149,145
344,149,154
345,150,144
346,150,157
347,151,142
348,151,153
349,152,147
350,152,156
351,153,142
352,153,146
353,153,151
354,154,141
355,154,142
356,154,149
357,154,155
358,155,142
359,155,154
360,156,140
361,156,142
362,156,144
363,156,145
364,156,146
365,156,147
366,156,148
367,156,152
368,157,150
369,157,159
370,158,145
371,158,160
372,159,143
373,159,157
374,160,145
375,160,158
376,161,358
377,161,359
378,161,162
379,162,163
380,163,162
381,164,178
382,165,178
383,166,178
384,167,178
